time,type,note,velocity
32.654,note_off,60,0
32.654,note_off,51,0
32.654,note_on,50,50
32.654,note_on,62,50
32.654,note_off,42,0
32.655,note_off,80,0
32.655,note_off,75,0
32.655,note_off,72,0
32.655,note_on,84,50
32.655,note_on,74,50
32.655,note_on,77,50
32.769,note_on,36,50
32.769,note_on,35,50
32.885,note_off,35,0
32.885,note_off,36,0
33.000,note_off,62,0
33.000,note_off,50,0
33.000,note_on,50,50
33.000,note_on,60,50
33.000,note_on,42,50
33.001,note_off,84,0
33.001,note_on,80,50
33.115,note_off,42,0
33.231,note_off,60,0
33.231,note_off,50,0
33.231,note_on,49,50
33.231,note_on,61,50
33.231,note_on,36,50
33.232,note_off,77,0
33.232,note_off,74,0
33.232,note_off,80,0
33.232,note_on,83,50
33.232,note_on,73,50
33.232,note_on,77,50
33.346,note_off,36,0
33.462,note_on,42,50
33.577,note_off,42,0
33.578,note_off,83,0
33.578,note_on,82,50
33.692,note_on,36,50
33.692,note_on,35,50
33.808,note_off,35,0
33.808,note_off,36,0
33.923,note_off,61,0
33.923,note_off,49,0
33.923,note_on,48,50
33.923,note_on,58,50
33.923,note_on,42,50
33.924,note_off,77,0
33.924,note_off,73,0
33.924,note_off,82,0
33.924,note_on,72,50
33.924,note_on,76,50
33.924,note_on,80,50
34.038,note_off,42,0
34.154,note_on,36,50
34.269,note_off,36,0
34.385,note_on,42,50
34.500,note_off,42,0
34.615,note_off,58,0
34.615,note_off,48,0
34.615,note_on,36,50
34.615,note_on,48,50
34.615,note_on,36,50
34.615,note_on,35,50
34.617,note_off,80,0
34.617,note_off,76,0
34.617,note_off,72,0
34.617,note_on,60,50
34.617,note_on,68,50
34.617,note_on,72,50
34.731,note_off,35,0
34.731,note_off,36,0
34.846,note_on,42,50
34.962,note_off,42,0
35.077,note_off,48,0
35.077,note_off,36,0
35.077,note_on,53,50
35.077,note_on,60,50
35.077,note_on,36,50
35.078,note_off,72,0
35.078,note_off,68,0
35.078,note_off,60,0
35.078,note_on,75,50
35.078,note_on,68,50
35.078,note_on,72,50
35.192,note_off,36,0
35.193,note_off,75,0
35.193,note_on,76,50
35.308,note_on,42,50
35.423,note_off,42,0
35.424,note_off,72,0
35.424,note_off,68,0
35.424,note_off,76,0
35.424,note_on,68,50
35.424,note_on,72,50
35.424,note_on,77,50
35.538,note_on,36,50
35.538,note_on,35,50
35.654,note_off,35,0
35.654,note_off,36,0
35.769,note_on,42,50
35.885,note_off,42,0
36.000,note_off,60,0
36.000,note_off,53,0
36.000,note_on,52,50
36.000,note_on,60,50
36.000,note_on,36,50
36.115,note_off,36,0
36.231,note_on,42,50
36.346,note_off,42,0
36.462,note_off,60,0
36.462,note_off,52,0
36.462,note_on,51,50
36.462,note_on,60,50
36.462,note_on,36,50
36.462,note_on,35,50
36.577,note_off,35,0
36.577,note_off,36,0
36.692,note_on,42,50
36.808,note_off,42,0
36.923,note_off,60,0
36.923,note_off,51,0
36.923,note_on,50,50
36.923,note_on,60,50
36.923,note_on,36,50
37.038,note_off,36,0
37.154,note_on,42,50
37.269,note_off,60,0
37.269,note_off,50,0
37.269,note_on,49,50
37.269,note_on,60,50
